"id","muni","dpto","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam"
"18-9","San Juan Tecuaco","Santa Rosa",174.846565507385,329.872103880647,894.894714355469,0.504983388704319,910,29942.8133374325,0,23629.7803290229,0,83.7576858691428,61.8976822439216,15.989731062967
"19-1","Concepcion","Solola",190.562948386798,2106.41714670507,2612.56665039062,0.660098522167488,1014,7982.4650025922,5447.73016272553,1091.07117505083,0.682462141826673,18.4907841709306,69.3841431827345,3.07111811107624
"19-10","San Pablo La Laguna","Solola",201.461854872069,1840.56828724905,2487.05810546875,0.14,NA,4139.12964408847,2832.91422747632,0,0.684422685702128,4.60614019764713,85.451866365108,5.53959887877816
"19-11","San Pedro La Laguna","Solola",324.543704046023,2046.78078923321,3017.419921875,0.837259100642398,1164,23605.6020279912,3690.70394596453,0,0.156348647307878,42.7774756469784,81.5322445836131,10.5047062756218
"19-12","Santa Catarina Ixtahuacan","Solola",598.978943232132,1758.19828244392,3011.42846679688,0.810511089681774,737.333333333333,77275.4209576598,7876.07888743037,47769.4518775911,0.101922173827377,190.56495770117,89.9354815162253,0
"19-13","Santa Catarina Palopo","Solola",164.371982829514,1929.78039863515,2256.18481445312,0.507246376811594,1168,9877.9627447106,9877.9627447106,0,1,6.29904166834722,68.4513861582325,10.8315473525517
"19-14","Santa Clara La Laguna","Solola",164.441327006594,2063.49437677773,2575.39184570312,0.712574850299401,NA,12616.7139066678,6915.04209505421,2507.65288838317,0.548085828545236,15.5810195199688,86.8164567595933,5.45299693754589
"19-15","Santa Cruz La Laguna","Solola",315.105794192377,1968.74694149747,2957.13330078125,0.275862068965517,NA,10837.5164857748,0,2319.27307466318,0,10.5825989347368,77.7979258234544,5.20821257438117
"19-16","Santa Lucia Utatlan","Solola",121.673895518573,2468.61964392196,2901.404296875,0.377358490566038,0,56099.2078642262,23636.6556775283,18744.7863085112,0.421336710042944,53.6707075712811,82.7618833962952,0
"19-17","Santa Maria Visitacion","Solola",175.567766559493,1959.49546178753,2374.0419921875,0.925531914893617,NA,6258.68438281426,0,2414.90180196509,0,16.9317161057101,89.4904371090066,6.82462618750852
"19-18","Santiago Atitlan","Solola",554.491300620376,1791.06071868443,3522.49926757812,0.897416974169742,1170,56857.6084440542,12152.1022304485,0,0.213728691075807,124.854436371757,72.4193838157801,14.6416221703741
"19-19","Solola","Solola",276.053423551947,2429.55005855987,3171.88696289062,0.461352657004831,0,124551.903693087,51139.1578670797,50326.6653784199,0.410585116331049,152.752801149023,68.7411332415031,0
"19-2","Nahuala","Solola",705.04325618069,2303.31581038391,3529.89575195312,0.558781532603522,999,100516.414961696,16381.7103529745,79442.8605264059,0.16297547379915,192.77661954315,81.4566469964697,0
"19-3","Panajachel","Solola",182.161710864597,1799.84276482404,2203.92846679688,0.474358974358974,NA,15142.081389291,12303.7637984589,2838.31759083207,0.812554330024971,7.13750654092023,69.9916167951972,7.26806728959224
"19-4","San Andres Semetabaj","Solola",164.570456313746,2210.22172165508,2828.71606445312,0.502479338842975,NA,35807.8750832728,29750.9303099898,3497.89478350392,0.83084880744257,55.8946685697401,64.6390712726267,0.763045777828829
"19-5","San Antonio Palopo","Solola",190.686085847064,1855.10542368612,2321.31616210938,0.182692307692308,NA,18782.8303304851,13478.5493823909,5304.28094809416,0.717599485553295,28.4547086107425,64.7910651357068,12.4389549429388
"19-6","San Jose Chacaya","Solola",96.6254479735292,2346.36282586681,2654.97509765625,0.445859872611465,NA,10568.5930008214,0,6810.50105442186,0,14.6257952119322,79.2175021035288,0.919246383357325
"19-7","San Juan La Laguna","Solola",262.611059007359,1974.97985419314,2689.92333984375,0.845945945945946,1211,25589.2334727284,2735.26237564177,11282.4471250846,0.106891141485612,33.9255480094895,86.2504026508197,8.58515063471628
