"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,1,0,0,1,"3-11"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,1,0,0,1,"3-11"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,1,0,0,1,"3-11"
12,1979,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,2,"2-4"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,1,"20-19"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,3,"20-19"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"20-19"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,27,"18-4"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"18-4"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,2,"18-4"
6,1980,"Fernando Romeo Lucas Garcia","kidnap",0,0,0,1,0,0,23,"7-4"
8,1985,"Oscar Humberto Mejia Victores","kidnap",0,0,0,0,0,0,1,"17-11"
8,1985,"Oscar Humberto Mejia Victores","kidnap",0,0,0,0,0,0,2,"17-11"
9,1982,"Efrain Rios Montt Schaad","kidnap",0,0,0,0,0,0,1,"7-4"
2,1983,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,3,"8-6"
11,1984,"Oscar Humberto Mejia Victores","killed",0,1,0,0,0,0,1,"12-13"
11,1984,"Oscar Humberto Mejia Victores","killed",0,1,0,0,0,0,1,"12-13"
3,1985,"Oscar Humberto Mejia Victores","kidnap",0,1,0,0,0,0,1,"7-4"
4,1985,"Oscar Humberto Mejia Victores","kidnap",0,0,0,0,0,0,4,"3-6"
12,1983,"Oscar Humberto Mejia Victores","tortured",0,1,0,0,0,0,62,"8-6"
7,1989,"Vinicio Cerezo Arevalo","killed",0,0,0,0,0,0,4,"12-4"
7,1989,"Vinicio Cerezo Arevalo","killed",0,0,0,0,0,0,1,"12-4"
8,1989,"Vinicio Cerezo Arevalo","killed",0,1,0,0,0,0,9,"1-9"
8,1989,"Vinicio Cerezo Arevalo","injured",0,1,0,0,0,0,3,"1-9"
10,1992,"Jorge Serrano Elias","injured",0,0,1,0,0,0,4,"8-22"
5,1978,"Kjell Eugenio Laugerud Garcia","injured",0,1,0,0,0,0,570,"1-7"
5,1978,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,130,"1-7"
9,1978,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,4,"4-7"
9,1978,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,4,"4-7"
9,1978,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,15,"4-7"
1,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,1,0,0,1,"7-4"
2,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,30,"3-10"
3,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,6,"14-10"
3,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,1,"14-10"
3,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,3,"14-10"
7,1980,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,8,"7-4"
